!Property,!Text,!Note
SettingsHardwareEnabledTooltip,Activer ce mat‚riel. (Double cliquez pour changer. Bug connu.),Settings hardware enabled checkbox tooltip
SettingsHardwareNameTooltip,Editer le nom de ce mat‚riel. ,Settings hardware name tooltip
SettingsHorizontalOffset,D‚calage horizontal,Horizontal offset settings label
SettingsHorizontalOffsetTooltip,D‚callage honrizontal de la sidebar,Horizontal offset settings tooltip
SettingsHotkeyClose,Fermer,Settings hotkey close label
SettingsHotkeyCycleEdge,Changer de bord,Settings hotkey switch edge
SettingsHotkeyCycleScreen,Changer d'‚cran,Settings hotkey switch screen
SettingsHotkeyHide,Cacher,Settings hotkey hide label
SettingsHotkeyReload,Recharger,Settings hotkey reload label
SettingsHotkeyShow,Afficher,Settings hotkey show label
SettingsHotkeysTab,Raccourics,Title of the settings hotkeys tab
SettingsHotkeyToggle,Bascule,Settings hotkey toggle label
SettingsLanguage,Langue,Settings language label
SettingsLanguageDefault,D‚faut,Settings language default label
SettingsLanguageTooltip,Langue actuelle de l'application.,Settings language tooltip
SettingsMetrics,M‚triques: ,Settings metrics label with colon
SettingsMetricsTooltip,Activer ou d‚sactiver des m‚triques sp‚cifiques.,Settings metrics tooltip
SettingsMonitorEnabledTooltip,Activer ce moniteur,Settings monitor enabled checkbox tooltip
SettingsMonitorsColumn1,Activ‚,Settings monitors data grid enabled column header
SettingsMonitorsColumn2,Moniteur,Settings monitors data grid monitor column header
SettingsMonitorsSubtitle1,Cliquez sur un ligne pour ‚diter ses r‚glages.,Settings monitors subtitle line one
SettingsMonitorsSubtitle2,D‚placer une ligne pour changer son ordre.,Settings monitors subtitle line two
SettingsMonitorsTab,Moniteurs,Title of the settings monitors tab
SettingsPollingInterval,Interval de rafraichissement. ,Settings polling interval label
SettingsPollingIntervalTooltip,Dur‚e entre l'interrogation des donn‚es en millisecondes.,Settings polling interval tooltip
SettingsReserveSpace,Espace r‚serv‚,Settings reserve space label
