!Property,!Text,!Note
SettingsUsedSpaceAlertTooltip,O percentual de limite no qual os alertas de espaço usado ocorrem. Use 0 para desativar.,Settings used space alert tooltip
SettingsUseFahrenheit,Usar Fahrenheit,Settings use fahrenheit label
SettingsUseFahrenheitTooltip,As temperaturas para os sensores e alertas estarão em Fahrenheit em vez de Celsius.,Settings use fahrenheit tooltip
SettingsUseGHz,Usar GHz,Settings use GHz label
SettingsUseGHzTooltip,A velocidade do clock será em GHz em vez de MHz.,Settings use GHz tooltip
SettingsVerticalOffset,Offset Vertical,Vertical offset settings label
SettingsVerticalOffsetTooltip,Offset vertical  da sidebar.,Vertical Offset settings tooltip
SetupCustomSubtitle,Use os controles deslizantes e caixas de texto para mover a barra lateral para a posição correta.,Subtitle of the custom setup page
SetupCustomTitle,Customizado,Title of the custom setup page
SetupDoneSubtitle,"Se você deseja personalizar a barra lateral, clique no botão de configurações.",Subtitle of the setup done page
SetupDoneText,Você também pode acessar as configurações através do ícone de engrenagem no canto superior direito da sidebar ou através do ícone na bandeja do sistema.,Text of the setup done page
SetupDoneTitle,Concluído!,Title of the setup done page
SetupSubtitle,Esta é uma configuração rápida para colocar a barra lateral na posição correta.,Subtitle of the initial setup page
SetupText,A barra lateral está visível e encaixada na borda direita do monitor principal?,Text of the initial setup page
SetupTitle,Configuração Inicial,Title of the initial setup page
Sidebar,Barra lateral,Title of the sidebar window
Time,Hora,Sidebar clock title
UpdateErrorFatalText,Ocorreu uma falha ao tentar atualizar. As atualizações automáticas estão agora desativadas.,Fatal text of the update error popup
UpdateErrorText,Não é possível atualizar. Verifique sua conexão com a internet.,Text of the update error popup
UpdateErrorTitle,Erro ao atualizar,Title of the update error popup
UpdateSuccessText,Você já tem a última versão.,Text of the update success popup
UpdateTitle,Atualizando,Title of the update window
